first_name,last_name,birth_date,hire_date
Amalendu,Picci,1955-02-19,1988-07-14
Tadahiro,Lichtman,1954-12-13,1986-06-19
Koichi,Marrakchi,1952-05-22,1988-11-17
Aksel,Kossowski,1953-11-27,1986-02-20
Jiafu,Emiris,1953-02-02,1988-11-03
Sanjay,Anick,1953-04-22,1988-04-25
Chandrasekaran,Lampe,1953-07-17,1988-02-15
Gaurav,Penz,1954-06-19,1987-12-04
Chenxi,Thambidurai,1954-08-12,1988-08-30
Rosine,Grandbois,1953-06-05,1985-09-01
Amabile,Bhattacharjee,1952-12-08,1987-03-17
Gita,Muhlberg,1952-04-27,1987-03-16
Niranjan,Markovitch,1955-05-25,1986-04-12
Arto,Zlotek,1952-05-18,1986-10-16
Taiji,Nitta,1955-04-13,1985-09-29
Shawna,Demeyer,1953-10-30,1988-01-27
Zeljko,Kusakabe,1952-06-19,1988-11-17
Divier,Farrag,1955-12-03,1986-08-27
Pradeep,Kriebel,1952-06-14,1985-11-12
Nalini,Sommen,1953-05-02,1988-01-23
Cheong,Riexinger,1953-01-17,1987-12-06
Nectarios,Bhattacharjee,1952-05-27,1988-04-16
Mitchel,Validov,1954-12-23,1988-06-22
Cordelia,Setlzner,1952-11-23,1987-12-27
Hideo,Boguraev,1955-04-26,1987-03-30
Miomir,Mawatari,1954-08-16,1987-08-29
Gunilla,Chiodo,1952-10-30,1988-10-03
Basil,Erman,1953-08-15,1987-06-13
Martijn,Harbusch,1953-01-27,1985-03-11
Jaana,Hedayat,1953-01-04,1986-10-11
Vidya,Schaar,1954-12-29,1988-10-17
Chinya,Chinin,1953-08-10,1985-11-03
Marit,Dalphin,1955-10-29,1986-06-25
Zhilian,Coorg,1953-12-16,1988-07-22
Jaewoo,Heiserman,1953-05-04,1985-02-28
Visit,Serot,1955-05-06,1987-08-20
Mads,Ratzlaff,1953-03-02,1986-09-05
Arunas,Katzenelson,1954-01-11,1986-10-01
Yuchang,Tchuente,1953-06-08,1988-10-10
Masako,Khasidashvili,1953-11-13,1986-04-07
Margareta,Worfolk,1954-01-20,1985-02-03
Ayonca,Burnard,1953-12-27,1985-05-13
Ger,Shokrollahi,1955-07-23,1988-11-14
Karlis,Siprelle,1955-03-16,1985-03-25
Xinan,Yamaashi,1953-09-20,1986-01-29
Weijing,Jumpertz,1953-05-09,1986-08-16
Bilhanan,Socorro,1954-06-21,1986-10-22
Nobuyoshi,Kuzuoka,1953-01-12,1987-08-23
Becky,Erie,1955-02-03,1988-02-25
Satyanarayana,Avouris,1953-07-01,1986-05-24
Satoru,Krone,1954-06-27,1987-07-24
Xiahua,Syrzycki,1954-07-08,1987-07-18
Shounak,Erman,1953-04-16,1987-05-01
Yannik,Barreiro,1953-09-13,1986-01-29
Suebskul,Grandbois,1954-10-25,1988-10-01
Shem,Perly,1955-08-15,1985-07-17
Xiaobin,Maquelin,1952-11-19,1985-04-27
Adel,Nanard,1955-02-03,1986-06-24
Harngdar,Iisaku,1954-06-29,1987-09-19
Feiyu,Klyachko,1954-11-06,1985-03-16
Sushant,Rossi,1955-08-24,1986-04-14
Barton,Janetzko,1954-11-21,1985-03-27
Yaghout,Strooper,1954-08-01,1985-02-18
Vincent,Melter,1955-07-14,1985-09-16
Abdelwaheb,Holburn,1953-03-04,1986-09-01
Niteen,Koyama,1954-07-27,1986-08-13
Subbu,Penttonen,1952-03-26,1985-04-09
Eldridge,Sadowski,1952-09-20,1987-02-28
Chaitali,Stafford,1953-04-04,1988-12-23
Guadalupe,Reghbati,1955-02-15,1985-08-26
Mart,Pagter,1953-12-30,1987-07-24
Shakhar,Kornyak,1953-08-10,1988-01-04
Behnaam,Grandbois,1955-10-16,1987-12-08
Garnik,Papadias,1955-02-01,1988-04-01
Yongmin,Lenart,1955-05-03,1986-08-12
Godehard,Braccini,1952-08-20,1988-06-13
Mototsugu,Cronau,1952-02-17,1985-08-11
Susanne,Lubachevsky,1955-02-11,1985-10-22
Chenye,Velasco,1954-04-06,1988-11-24
DAIDA,Bruckman,1952-05-21,1986-10-16
Arnould,Genin,1952-11-25,1988-04-26
Rasiah,Luga,1955-02-13,1985-05-25
Sorina,Slaats,1952-10-18,1988-08-25
Kamakshi,Bisiani,1954-01-21,1985-04-07
Mooi,Driscoll,1953-04-26,1985-03-22
Sanjit,Felder,1955-01-08,1988-02-04
Mihalis,Luga,1955-11-15,1987-12-07
Shao,Ibel,1952-05-31,1986-08-17
Hugh,Gadepally,1955-06-17,1988-05-04
Uri,Sluis,1952-06-05,1986-10-25
Dannz,Spelt,1955-11-18,1988-07-05
Berhard,Demos,1954-12-04,1985-07-20
Pramod,Marzano,1955-04-25,1986-11-26
Kerryn,Farris,1954-08-21,1986-09-10
Shai,Milicic,1955-09-08,1986-08-18
Filipe,Roison,1953-03-30,1987-04-26
Yahiko,Hopewell,1954-10-23,1987-11-22
Mona,Reghbati,1954-04-24,1987-10-04
Arnould,Munck,1955-01-23,1986-04-11
Jackson,Muchinsky,1955-08-08,1988-05-16
Filipp,Menhardt,1953-07-16,1988-03-30
Stein,Penz,1953-08-26,1985-04-05
Morrie,Matheson,1954-11-22,1986-06-05
Adly,Rosaz,1953-01-04,1987-04-17
Tomofumi,Melter,1952-11-14,1985-12-03
Conor,Cincotta,1952-11-20,1988-09-24
Yongmao,Gerlach,1953-01-31,1985-08-14
Shih,Nanard,1952-04-22,1988-08-31
Kazuhide,Bouloucos,1954-07-26,1987-09-12
Jeane,Tzvieli,1954-03-15,1987-12-04
Aral,Vesna,1954-05-08,1987-02-28
Stafford,Kopetz,1954-01-01,1988-03-20
Anoosh,Chleq,1952-11-23,1988-09-08
Breannda,Roisin,1955-10-10,1986-04-25
Ghassan,Simkin,1955-08-16,1988-12-17
Nectarios,Mondadori,1955-10-27,1985-06-23
Xinyu,Restivo,1952-11-09,1985-11-27
Poorav,Karner,1955-06-03,1987-04-08
Yuqun,Seiwald,1954-11-09,1986-07-01
Suebskul,Gips,1955-09-27,1987-05-24
Pragnesh,Bael,1952-07-24,1988-01-27
Leucio,Alvarado,1952-08-02,1985-08-27
Nobuyoshi,Stellhorn,1954-10-31,1986-09-29
Zhonghua,Parveen,1952-05-01,1987-08-19
Carrsten,Borovoy,1952-12-07,1987-06-03
Luerbio,Boudaillier,1953-01-19,1987-04-12
Oddvar,Gils,1952-10-17,1987-11-21
Kazuhira,Luders,1954-12-19,1988-07-29
Uri,Brizzi,1955-06-25,1986-07-11
Ronghao,Botman,1955-08-09,1985-12-02
Tzu,Jiafu,1953-04-17,1988-05-16
Elliott,Cheshire,1955-09-23,1985-03-29
Fumitake,Panwar,1954-03-27,1988-09-04
Nahla,Rahier,1954-05-18,1987-08-25
Barry,Perl,1953-07-01,1987-12-18
Yongmao,Waymire,1953-05-09,1988-04-05
Mara,Takanami,1952-09-27,1988-04-06
Gil,Frijda,1952-03-05,1986-03-03
Rildo,Rodite,1955-02-20,1987-03-18
LiMin,Kuszyk,1953-05-05,1987-05-31
Jenwei,Lovengreen,1952-06-26,1985-03-05
Mariangiola,Berendt,1952-10-21,1986-02-06
Gunilla,Perl,1953-02-05,1986-04-22
Masoud,Fordan,1952-05-06,1986-10-11
Lillian,Beeson,1952-05-18,1987-12-27
Gad,Boissier,1952-05-12,1985-03-16
Sushant,Junot,1955-03-25,1985-02-27
Freyja,Ramras,1952-10-15,1985-04-18
Mountaz,Gubsky,1953-07-30,1986-11-30
Krisda,Cyne,1954-10-24,1988-07-16
Kazuhide,Smeets,1953-01-17,1987-06-14
Mang,Brobst,1953-10-06,1987-01-05
Leif,Matheson,1954-08-02,1985-09-06
Marl,Schmittgen,1953-02-18,1986-09-09
Apostol,Goodrum,1953-12-05,1985-09-13
Baruch,Eugenio,1955-09-07,1986-05-14
Martien,Erni,1955-11-05,1986-05-07
Neven,Casley,1955-10-05,1985-10-31
Licheng,Crouzet,1954-10-09,1987-03-18
Roddy,Serot,1952-04-28,1988-05-25
Munehiro,Gecsei,1955-01-24,1987-07-19
Jacqueline,Porenta,1955-09-01,1985-11-20
Heekeun,Luby,1952-04-24,1985-12-24
Arup,Cincotta,1953-03-17,1986-01-26
Odinaldo,Farrar,1953-10-25,1987-12-12
Tommaso,Perelgut,1954-07-29,1986-11-06
Geoff,Asrin,1955-02-24,1987-02-12
Mohammad,Keirsey,1954-06-15,1987-08-19
Juyoung,Azevdeo,1952-10-16,1985-02-14
Gift,Frolund,1953-08-13,1986-10-24
Byong,Markovitch,1954-11-29,1987-08-24
Elliott,Hambrick,1954-04-07,1985-12-01
Florina,Harbusch,1952-02-12,1987-12-24
Yahiko,Kroll,1955-02-12,1987-07-02
Vivian,Stafford,1953-03-09,1987-04-19
Atilio,Chelton,1953-04-24,1987-01-04
Fan,Naudin,1955-08-28,1985-10-06
Xinglin,Baak,1953-11-10,1986-11-25
Rosella,Morrin,1955-05-24,1986-08-17
Deniz,Skafidas,1954-03-09,1988-06-14
Ibibia,Armand,1953-01-03,1988-10-25
Srinidhi,Ellozy,1952-05-09,1988-06-19
Kwun,Landherr,1953-08-05,1987-08-25
Quingbo,Garnick,1955-11-06,1985-03-17
Guther,Senzako,1955-06-21,1985-09-03
Lorien,Chepyzhov,1955-06-25,1987-08-29
Persi,Nollmann,1952-07-11,1987-10-16
Haldon,Erie,1953-11-01,1985-05-25
Shichao,Ginesta,1955-12-28,1985-12-16
Akeel,Millington,1952-04-19,1986-12-29
Lucian,Benner,1954-09-09,1988-03-16
Munir,Stentiford,1954-06-10,1987-09-11
Cheong,Bernardeschi,1955-10-25,1986-05-07
Anoosh,Birnbaum,1954-12-29,1987-08-31
Arve,Horswill,1953-04-20,1987-09-24
Moty,Janocha,1955-09-09,1987-04-16
Kokou,Rodite,1954-02-25,1985-08-27
Kyoichi,Barbanera,1955-06-19,1986-04-29
Rosita,Flowers,1953-01-28,1988-11-10
Aram,Scharstein,1953-05-10,1986-03-29
Jianhua,Klassen,1953-06-19,1986-09-19
Hein,Billawala,1954-12-29,1988-02-03
Premsyl,Famili,1955-05-17,1987-02-27
Mitchel,Fujisaki,1955-01-29,1986-06-02
Alselm,Chvatal,1954-08-11,1987-03-31
Ebru,Foote,1953-02-23,1985-10-30
King,Pileggi,1955-02-14,1987-12-20
Fay,Huxford,1953-12-23,1986-12-17
Zeydy,Schusler,1954-02-20,1985-11-19
Arun,Jiang,1953-10-11,1985-03-10
Yechiam,Seuren,1955-05-07,1986-03-09
Muneo,Broomell,1952-08-24,1987-04-14
Georg,Stamatiou,1952-04-29,1986-10-30
Guiseppe,Butner,1953-12-07,1986-07-17
Mack,Alencar,1954-06-21,1987-04-19
Bikash,Herath,1952-04-25,1985-07-17
Sakthirel,Stroustrup,1955-09-08,1988-05-08
Nidapan,Pearson,1954-12-02,1987-09-24
Yoshinari,Hennebert,1953-07-17,1988-03-23
Bodh,Doering,1953-06-02,1986-03-11
Heon,Usery,1952-04-06,1988-07-29
Kiyokazu,Klassen,1953-12-29,1988-04-24
Nakhoon,Riexinger,1954-01-23,1986-07-29
Juichirou,Naumovich,1954-09-08,1987-06-13
Claudi,Buchter,1954-11-15,1986-06-10
Khosrow,Sgarro,1952-04-27,1986-02-23
Divine,Cmelik,1954-04-26,1988-03-23
Fumitake,Beidas,1953-04-05,1988-08-26
Chuanyi,Aumann,1952-05-19,1987-09-22
Augustine,Dulli,1955-05-15,1985-09-15
Randy,Baba,1954-01-19,1986-09-18
Gio,Chenoweth,1954-01-09,1987-10-30
Sreekrishna,Lagarias,1954-12-27,1986-04-26
Nathalie,Speer,1955-06-23,1986-01-01
Vishwani,Gerlach,1952-08-20,1988-01-17
Giordano,Miake,1953-03-14,1987-06-16
Mayuko,Puppo,1954-07-22,1985-03-06
Renee,Dehkordi,1954-12-22,1986-04-14
Gretta,Weiland,1952-03-21,1986-08-23
Shooichi,Parfitt,1955-06-27,1986-01-18
Feipei,Nivat,1954-12-21,1985-12-12
Theron,Berstel,1954-08-29,1988-01-26
Sasan,Rehfuss,1953-11-01,1985-07-08
Uinam,Jullig,1954-09-08,1987-09-07
Parto,Mandell,1954-01-09,1986-12-21
Jaewoo,Tasistro,1955-07-28,1988-12-16
Chaoyi,Porotnikoff,1955-11-06,1985-07-27
Arunas,Schlenzig,1954-12-25,1986-05-19
Aimee,Brookner,1955-02-22,1988-10-26
Matk,Koprowski,1952-05-02,1988-05-12
Ingmar,Capobianchi,1955-03-23,1985-03-23
Sibyl,Jeong,1952-04-15,1986-07-28
Jungsoon,Engberts,1954-08-05,1986-08-22
Tadahiko,Christianini,1953-09-26,1987-11-17
Dmitry,Encarnacion,1953-08-02,1985-09-29
Fei,Haddadi,1954-02-28,1986-08-24
Zhigen,Yurek,1952-12-15,1987-05-12
Dzung,Trelles,1954-09-13,1987-01-03
Zejun,Lamba,1954-03-28,1985-11-16
Stamatina,Plesums,1955-10-09,1987-09-02
Kristen,Iivonen,1955-01-01,1985-07-11
Moti,Takanami,1953-05-06,1987-04-16
Denny,Speer,1953-08-08,1985-03-18
Elvia,Christ,1955-05-03,1985-02-06
Weicheng,Hockney,1954-05-02,1988-03-08
Shuichi,Weedon,1953-04-07,1985-06-20
Domenico,Mitchem,1954-01-11,1985-06-02
Vishu,Kumaresan,1955-05-26,1986-05-03
Sugwoo,Delgrossi,1952-07-01,1985-08-25
Vitali,Merey,1952-08-13,1985-09-21
Bangqing,Mitchem,1953-02-05,1988-07-25
Masaru,Capobianchi,1955-05-11,1987-03-06
Tremaine,Heemskerk,1952-05-03,1986-08-18
Sedat,Lovengreen,1953-08-13,1986-11-19
Yakichi,Trogemann,1955-10-07,1986-10-24
Arve,Maierhofer,1955-06-30,1987-10-21
Takushi,Berendt,1952-02-27,1988-07-02
Xiaobin,Sinicrope,1952-08-10,1988-09-19
Takahira,Furedi,1955-05-26,1985-09-22
Valery,Sury,1953-05-06,1985-07-27
Mayuri,Gewali,1954-02-06,1986-08-04
Paloma,Thorelli,1953-07-02,1988-08-28
Shih,Mayerwieser,1952-05-27,1986-03-08
Kiyotoshi,Basagni,1953-07-05,1986-01-12
Guadalupe,Plotkin,1953-04-19,1985-09-09
Arlette,Pell,1955-06-12,1986-08-02
Christophe,Spinelli,1952-12-10,1986-01-09
Juichirou,Cichocki,1954-01-21,1987-11-11
Guiseppe,Welham,1952-08-01,1985-03-20
Mingsen,Roohalamini,1952-03-10,1986-06-02
Anoosh,Fujisawa,1952-08-01,1987-08-23
Kwangyoen,Barreiro,1954-04-04,1988-02-23
Kensei,Swift,1953-05-03,1985-02-18
Ult,Schonegge,1952-11-15,1987-11-28
Youngkon,Cairo,1954-02-19,1987-09-03
Serge,Albarhamtoshy,1955-05-03,1985-08-07
Vidya,Wynblatt,1952-04-25,1986-06-06
Sukumar,Chartres,1952-04-28,1985-11-26
Shiv,Bratsberg,1953-11-20,1988-06-10
Elzbieta,Esteva,1953-04-17,1985-06-13
Mooi,Genther,1953-01-28,1985-12-28
Nechama,Hettesheimer,1953-01-03,1986-01-22
Maris,Ghelli,1955-11-14,1985-05-17
Boguslaw,Cooman,1954-01-03,1988-07-18
Jianwen,Chandrasekhar,1953-06-06,1985-05-29
Turgut,Highland,1953-08-27,1986-06-08
Geraldo,Ramsey,1952-02-16,1985-02-28
Deborah,Schapiro,1952-03-07,1987-10-30
Ulises,Kenevan,1955-09-27,1988-07-27
Florian,Crouzet,1952-11-25,1985-06-11
Vojin,Stellhorn,1955-04-08,1985-05-10
Manibrata,Picaronny,1952-06-21,1987-11-27
Aloys,Seghrouchni,1952-05-07,1985-08-26
Shan,DeMori,1954-05-09,1987-12-22
Ymte,Alpin,1953-06-28,1987-01-21
Godehard,Trachtenberg,1955-04-03,1988-10-21
Mori,Leslie,1953-06-03,1987-11-10
Feixiong,Jording,1955-05-11,1985-04-29
Xiahua,Rindone,1953-01-05,1986-09-04
Leszek,Cummings,1955-03-27,1987-07-12
Along,Herber,1955-07-06,1985-11-17
Kasturi,Anido,1953-03-09,1985-04-06
Sachin,Conry,1955-03-06,1985-06-29
Adas,Hertweck,1953-08-11,1985-12-01
Jiann,Luby,1952-09-07,1987-01-16
Adin,Chachaty,1955-08-25,1987-01-21
Masanao,Kusakabe,1955-10-24,1988-04-06
Tomofumi,Pargas,1952-05-01,1987-12-02
Guther,Conta,1952-02-24,1986-01-30
Masali,Bojadziev,1954-09-19,1987-03-14
Xuedong,Angiulli,1952-06-14,1988-11-07
